hour_key,wiper_on,wiper_off,wiper_total,rain_ratio,is_rainy,avg_temp,min_temp,max_temp,is_cold,is_freezing
2022-10-03 03,1,1,4,0.25,False,3.8866803278688526,0.5,17.0,True,False
2022-10-03 04,30,26,69,0.43478260869565216,True,3.229551451187335,-1.0,16.5,True,False
2022-10-03 05,69,58,183,0.3770491803278688,True,3.210269452845752,-1.0,19.5,True,False
2022-10-03 06,288,224,815,0.35337423312883437,True,3.402436673478043,-2.5,18.0,True,False
2022-10-03 07,659,555,2039,0.32319764590485534,True,3.4358255221787584,-2.0,19.0,True,False
2022-10-03 08,415,270,1094,0.3793418647166362,True,5.572189229087549,-1.0,22.0,False,False
2022-10-03 09,189,64,376,0.5026595744680851,True,9.327224834305783,0.5,26.0,False,False
2022-10-03 10,131,24,185,0.7081081081081081,True,12.222264565446434,4.0,28.5,False,False
2022-10-03 11,121,16,162,0.7469135802469136,True,13.982822643469229,8.0,27.5,False,False
2022-10-03 12,142,12,178,0.797752808988764,True,15.232454619031103,7.0,38.0,False,False
2022-10-03 13,130,10,163,0.7975460122699386,True,16.012008606167754,9.5,38.5,False,False
2022-10-03 14,176,11,220,0.8,True,16.187345415298825,9.5,35.0,False,False
2022-10-03 15,202,17,281,0.7188612099644128,True,15.649937714473745,8.5,30.5,False,False
2022-10-03 16,220,8,272,0.8088235294117647,True,15.014255300785408,10.5,34.5,False,False
2022-10-03 17,217,10,303,0.7161716171617162,True,14.403927553927554,9.0,36.0,False,False
2022-10-03 18,183,15,259,0.7065637065637066,True,12.923623218902183,7.0,27.5,False,False
2022-10-03 19,133,12,177,0.751412429378531,True,11.285016455198393,6.0,28.5,False,False
2022-10-03 20,52,5,66,0.7878787878787878,True,9.90362027951234,4.5,25.5,False,False
2022-10-03 21,23,2,31,0.7419354838709677,True,8.74038643086412,4.0,24.0,False,False
2022-10-03 22,19,1,35,0.5428571428571428,True,7.7553206287383505,3.0,20.5,False,False
2022-10-03 23,15,4,24,0.625,True,7.339882565492322,2.5,16.5,False,False
2022-10-04 00,7,4,11,0.6363636363636364,True,7.070319432120674,3.5,15.5,False,False
2022-10-04 01,8,5,15,0.5333333333333333,True,7.362745098039215,2.5,23.5,False,False
2022-10-04 02,4,2,11,0.36363636363636365,True,5.6518942101501075,3.0,19.5,False,False
2022-10-04 03,4,1,7,0.5714285714285714,True,5.028768699654775,3.0,16.0,False,False
2022-10-04 04,34,27,100,0.34,True,5.008350033400133,2.0,14.0,False,False
2022-10-04 05,91,73,212,0.42924528301886794,True,5.350018425254882,1.5,20.0,False,False
2022-10-04 06,240,177,613,0.3915171288743883,True,5.318535065325124,1.0,20.5,False,False
2022-10-04 07,565,427,1562,0.3617157490396927,True,5.463304896575902,0.5,22.0,False,False
2022-10-04 08,385,237,977,0.3940634595701126,True,6.585416468461611,1.5,23.0,False,False
2022-10-04 09,193,72,355,0.543661971830986,True,9.390507022611814,4.0,30.5,False,False
2022-10-04 10,124,17,180,0.6888888888888889,True,13.04389282173081,5.5,31.0,False,False
2022-10-04 11,173,6,215,0.8046511627906977,True,14.813118094632742,5.5,29.0,False,False
2022-10-04 12,153,5,175,0.8742857142857143,True,16.601444622792936,8.0,31.5,False,False
2022-10-04 13,154,17,197,0.7817258883248731,True,18.010142336519287,11.5,33.5,False,False
2022-10-04 14,183,11,225,0.8133333333333334,True,19.13783849894961,10.0,41.0,False,False
2022-10-04 15,217,11,264,0.821969696969697,True,19.539369287406906,10.0,37.5,False,False
2022-10-04 16,244,17,281,0.8683274021352313,True,18.992881656441178,10.5,36.0,False,False
2022-10-04 17,209,17,273,0.7655677655677655,True,17.773391135014837,9.5,35.5,False,False
2022-10-04 18,155,20,225,0.6888888888888889,True,16.188149831302074,9.5,31.0,False,False
2022-10-04 19,120,5,171,0.7017543859649122,True,13.606453252032521,7.5,31.5,False,False
2022-10-04 20,63,3,91,0.6923076923076923,True,11.525126980389519,6.5,37.5,False,False
2022-10-04 21,38,5,46,0.8260869565217391,True,10.392711771177117,5.0,23.5,False,False
2022-10-04 22,21,4,32,0.65625,True,9.312068782507165,4.0,23.5,False,False
2022-10-04 23,19,13,38,0.5,True,8.32895063259737,2.5,16.5,False,False
2022-10-05 00,1,0,1,1.0,True,7.985401459854015,5.5,16.5,False,False
2022-10-05 01,2,2,5,0.4,True,7.255102040816326,3.0,19.5,False,False
2022-10-05 02,2,0,2,1.0,True,5.8573351278600265,3.0,11.5,False,False
2022-10-05 03,20,18,38,0.5263157894736842,True,5.457577036724357,2.5,17.5,False,False
2022-10-05 04,17,10,42,0.40476190476190477,True,5.22463768115942,1.5,17.5,False,False
2022-10-05 05,86,64,202,0.42574257425742573,True,5.4564462092070976,1.0,20.5,False,False
2022-10-05 06,275,197,733,0.37517053206002726,True,5.725618550981915,0.0,19.0,False,False
2022-10-05 07,527,389,1480,0.3560810810810811,True,6.213476377090281,-0.5,19.5,False,False
2022-10-05 08,342,197,812,0.4211822660098522,True,8.156259141744863,1.0,23.5,False,False
2022-10-05 09,176,52,306,0.5751633986928104,True,11.964816514657345,3.5,26.5,False,False
2022-10-05 10,147,30,207,0.7101449275362319,True,15.526625730871597,6.0,28.5,False,False
2022-10-05 11,136,11,152,0.8947368421052632,True,17.96204460451586,11.0,33.0,False,False
2022-10-05 12,155,11,185,0.8378378378378378,True,19.71873622448204,6.0,35.0,False,False
2022-10-05 13,119,4,151,0.7880794701986755,True,20.832364464547364,13.0,45.5,False,False
2022-10-05 14,172,11,212,0.8113207547169812,True,21.734918259267786,14.0,41.0,False,False
2022-10-05 15,205,15,254,0.8070866141732284,True,21.77399222084768,14.5,43.0,False,False
2022-10-05 16,241,21,320,0.753125,True,21.34305700382343,15.0,38.0,False,False
2022-10-05 17,220,22,336,0.6547619047619048,True,20.444285890529258,13.0,37.5,False,False
2022-10-05 18,200,21,272,0.7352941176470589,True,18.751201581589164,10.5,33.0,False,False
2022-10-05 19,133,10,184,0.7228260869565217,True,16.820876943400062,8.5,33.5,False,False
2022-10-05 20,75,8,105,0.7142857142857143,True,15.872237150039005,9.0,37.0,False,False
2022-10-05 21,39,2,60,0.65,True,14.951734699265987,8.0,38.5,False,False
2022-10-05 22,16,1,20,0.8,True,14.12953629032258,8.0,27.0,False,False
2022-10-05 23,6,2,8,0.75,True,13.84552626860319,6.5,22.5,False,False
2022-10-06 00,8,6,17,0.47058823529411764,True,13.860830860534124,7.0,28.5,False,False
2022-10-06 01,4,3,9,0.4444444444444444,True,12.64878621769773,6.5,32.5,False,False
2022-10-06 02,4,4,12,0.3333333333333333,True,11.853930031803726,5.5,35.0,False,False
2022-10-06 03,23,20,43,0.5348837209302325,True,11.679700162074555,5.0,26.0,False,False
2022-10-06 04,15,11,30,0.5,True,12.02301857180225,4.5,20.5,False,False
2022-10-06 05,37,18,69,0.5362318840579711,True,11.600058962264152,2.5,22.5,False,False
2022-10-06 06,134,79,293,0.45733788395904434,True,11.91883064516129,2.5,23.5,False,False
2022-10-06 07,262,123,575,0.45565217391304347,True,12.411466075281707,3.0,29.0,False,False
2022-10-06 08,233,56,397,0.5869017632241813,True,13.650149396292033,4.5,39.5,False,False
2022-10-06 09,144,34,205,0.7024390243902439,True,15.694068749031159,5.5,27.0,False,False
2022-10-06 10,140,17,180,0.7777777777777778,True,17.7464116935927,8.5,34.5,False,False
2022-10-06 11,125,10,161,0.7763975155279503,True,19.145956625790774,11.5,35.0,False,False
2022-10-06 12,137,8,167,0.8203592814371258,True,20.426118919995353,14.5,42.0,False,False
2022-10-06 13,144,8,181,0.7955801104972375,True,21.074311039748338,14.0,37.5,False,False
2022-10-06 14,232,76,342,0.6783625730994152,True,20.978761036495932,16.0,37.0,False,False
2022-10-06 15,262,81,391,0.670076726342711,True,20.69184755517288,15.5,41.0,False,False
2022-10-06 16,225,13,277,0.8122743682310469,True,20.88841653703829,14.0,39.0,False,False
2022-10-06 17,248,18,336,0.7380952380952381,True,20.07320418985844,15.0,47.5,False,False
2022-10-06 18,172,12,220,0.7818181818181819,True,18.462974247562528,-65534.0,39.0,False,False
2022-10-06 19,119,2,149,0.7986577181208053,True,18.500026808693164,11.5,43.5,False,False
2022-10-06 20,81,7,110,0.7363636363636363,True,17.586075237125556,11.5,33.0,False,False
2022-10-06 21,47,3,56,0.8392857142857143,True,17.253762741270872,9.0,32.0,False,False
2022-10-06 22,22,2,38,0.5789473684210527,True,16.968092277732005,9.0,32.0,False,False
2022-10-06 23,13,2,17,0.7647058823529411,True,16.40990051347882,10.5,22.5,False,False
2022-10-07 00,8,0,8,1.0,True,16.208427672955974,9.5,25.0,False,False
2022-10-07 01,4,3,9,0.4444444444444444,True,15.412068076328005,8.5,35.0,False,False
2022-10-07 02,7,4,13,0.5384615384615384,True,15.265224052087323,9.0,21.0,False,False
2022-10-07 03,4,0,4,1.0,True,15.971062422488632,11.5,31.0,False,False
2022-10-07 04,74,62,146,0.5068493150684932,True,14.019417475728156,11.0,23.0,False,False
2022-10-07 05,503,442,1136,0.44278169014084506,True,12.067184863822607,9.0,22.5,False,False
2022-10-07 06,1245,1089,2807,0.44353402208763804,True,11.697124286739976,9.0,23.5,False,False
2022-10-07 07,1056,892,2851,0.37039635215713784,True,11.515243819706384,8.5,30.5,False,False
2022-10-07 08,499,324,1123,0.44434550311665183,True,11.278647934344137,8.0,35.5,False,False
2022-10-07 09,305,138,617,0.49432739059967584,True,11.48257072748268,8.0,39.0,False,False
